religious_words
amen
angel
angels
angelic
apostle
backslid
baptism
baptize
believer
bible
biblical
bless
cathedral
christian
church
churches
clergy
commandment
communion
confession
congregation
consecrat
covenant
creed
crusade
denomination
devotion
devout
disciple
epistle
evil
faith
fellowship
fruits
genesis
gospel
grace
hallow
heaven
holy
hymn
immortal
jew
lamp
martyr
miracle
mission
orthodox
parable
pastor
peacemaker
penance
piety
pious
pope
pray
priest
prophe
proverb
psalm
pulpit
rabbi
reap
rebirth
reborn
redeem
redemption
religio
repent
restor
resurrect
reverend
sabbath
sacrament
sacred
saint
salvation
sanctity
sanctify
sanctuary
scriptur
sermon
servant
shrine
sin
sins
sinner
sinners
sinning
sinned
solemn
soul
sow
sows
sown
sowed
spirit
temple
testament
theolog
trinity
worship
